_label,group,summary_count,summary_pruned_count,duration_ms_avg,duration_ms_max,traversed_avg,pruned_avg,commit_count_avg,avg_ops_avg,avg_bytes_avg,avg_commit_ms_avg,max_ops_max,max_bytes_max,max_commit_ms_max,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,_file
reach-lock25,reach-batched (no bodies),108,72,105.5,214.0,157.11111111111111,139.85185185185185,92.91847826086956,1247.671195652174,59801.32429347826,0.7891304347826086,4018.0,192323.0,3.95,25,50,50000,4194304,256,0,simpa-prune-reach-lock25-20260113-162758.csv
maxblocks128,full-batch (bodies+headers),108,72,114.5,168.0,153.96296296296296,139.44444444444446,1.75,1481.9521296296296,67707.73453703703,1.0893240740740742,2809.0,130902.0,3.784,25,50,50000,4194304,128,1,simpa-prune-maxblocks128-20260113-153319.csv
maxops50k,full-batch (bodies+headers),108,72,117.64814814814815,210.0,157.22222222222223,139.59259259259258,1.287037037037037,2528.8156481481483,114924.92277777779,1.8109444444444445,5118.0,232307.0,4.573,25,50,50000,4194304,256,1,simpa-prune-maxops50k-20260113-154722.csv
maxblocks64,full-batch (bodies+headers),108,76,118.58333333333333,248.0,154.8148148148148,139.7037037037037,3.138888888888889,796.3319444444445,36924.52546296296,0.6293333333333334,1478.0,70219.0,2.374,25,50,50000,4194304,64,1,simpa-prune-maxblocks64-20260113-152825.csv
reach-maxbytes1m,reach-batched (no bodies),108,76,122.63888888888889,192.0,155.74074074074073,139.62962962962962,92.09239130434783,1295.6521739130435,62006.614130434784,1.0076630434782607,3710.0,177460.0,5.135,25,50,50000,1048576,256,0,simpa-prune-reach-maxbytes1m-20260113-173604.csv
reach-lock10,reach-batched (no bodies),108,76,139.2314814814815,667.0,152.85185185185185,139.92592592592592,91.0054347826087,616.2964673913044,29774.614945652174,0.4910652173913043,3582.0,170839.0,33.464,10,20,50000,4194304,256,0,simpa-prune-reach-lock10-20260113-162256.csv
maxblocks256,full-batch (bodies+headers),108,76,142.87037037037038,264.0,155.37037037037038,139.5185185185185,1.0833333333333333,2929.777777777778,133093.61111111112,2.13025,4690.0,212840.0,5.643,25,50,50000,4194304,256,1,simpa-prune-maxblocks256-20260113-153802.csv
lock25,full-batch (bodies+headers),108,72,143.74074074074073,265.0,153.25925925925927,139.59259259259258,1.1759259259259258,2600.0678703703707,118224.99694444444,1.9543333333333335,5533.0,255439.0,6.95,25,50,50000,4194304,256,1,simpa-prune-lock25-20260113-151822.csv
lock50,full-batch (bodies+headers),108,72,146.75,293.0,155.2962962962963,139.40740740740742,1.0740740740740742,2874.0231481481483,130616.45370370371,2.1094166666666667,4997.0,226017.0,7.129,50,100,50000,4194304,256,1,simpa-prune-lock50-20260113-152322.csv
reach-lock50,reach-batched (no bodies),108,76,148.9814814814815,288.0,156.96296296296296,139.92592592592592,92.73913043478261,1435.7934782608695,68871.72554347826,1.3668913043478261,3760.0,179768.0,5.265,50,100,50000,4194304,256,0,simpa-prune-reach-lock50-20260113-164928.csv
