source,simpa_run_label,kind,commit_type,count,avg_ops,max_ops,avg_bytes,max_bytes,avg_commit_ms,max_commit_ms,duration_ms,traversed,pruned,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,lock_hold_ms,lock_yields,lock_reacquires
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/vm-mainnet-reach-maxblocks15.log,,summary,,,,,,,,,833834,474231,432046,25,50,50000,4194304,15,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/vm-mainnet-reach-maxblocks15.log,,commit,batched,32493,363.50,1320,24229.33,90576,0.370,241.205,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/vm-mainnet-reach-maxblocks15.log,,commit,body_per_block,474214,4.00,4,152.00,152,0.013,221.855,,,,,,,,,,,,
