source,simpa_run_label,kind,commit_type,count,avg_ops,max_ops,avg_bytes,max_bytes,avg_commit_ms,max_commit_ms,duration_ms,traversed,pruned,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,lock_hold_ms,lock_yields,lock_reacquires
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/local-mainnet-reach-maxbytes1m.log,,summary,,,,,,,,,497415,474231,432046,25,50,50000,1048576,256,0,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/local-mainnet-reach-maxbytes1m.log,,commit,batched,8501,1037.03,2211,57768.49,129609,0.814,76.113,,,,,,,,,,,,
/Users/luke/Projects/rusty-kaspa/pruning-optimisation/baseline/experiments/local-mainnet-reach-maxbytes1m.log,,commit,body_per_block,474214,4.00,4,152.00,152,0.009,35.599,,,,,,,,,,,,
