_label,group,host,network,run,file,duration_ms,traversed,pruned,lock_hold_ms,lock_yields,lock_reacquires,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,commit_type,commit_count,commit_avg_ops,commit_max_ops,commit_avg_bytes,commit_max_bytes,commit_avg_commit_ms,commit_max_commit_ms,body_count,body_avg_ops,body_max_ops,body_avg_bytes,body_max_bytes,body_avg_commit_ms,body_max_commit_ms
vm-mainnet-reach-maxblocks15,reach-batched (no bodies),vm,mainnet,reach-maxblocks15,vm-mainnet-reach-maxblocks15.csv,833834,474231,432046,,,,25,50,50000,4194304,15,0,batched,32493,363.50,1320,24229.33,90576,0.370,241.205,474214,4.00,4,152.00,152,0.013,221.855
vm-mainnet-reachlock5,reach-batched (no bodies),vm,mainnet,reachlock5,vm-mainnet-reachlock5.csv,806291,474353,432247,,,,5,50,50000,4194304,256,0,batched,28319,408.49,1461,27190.34,100681,0.431,272.508,474337,4.00,4,152.00,152,0.011,117.349
vm-mainnet-unbatched,unbatched,vm,mainnet,unbatched,vm-mainnet-unbatched.csv,989881,474251,432517,615571,79015,79016,5,0,0,0,0,1,unbatched,474234,45.84,772,3661.63,53550,0.067,240.553,,,,,,,
vm-testnet-reach-maxblocks15,reach-batched (no bodies),vm,testnet,reach-maxblocks15,vm-testnet-reach-maxblocks15.csv,7452748,487155,434514,,,,5,50,50000,4194304,15,0,batched,44565,196.71,567,10187.52,34726,0.236,119.531,487151,4.00,4,152.00,152,0.014,103.721
vm-testnet-reachlock5,reach-batched (no bodies),vm,testnet,reachlock5,vm-testnet-reachlock5.csv,3155842,487573,435146,,,,5,50,50000,4194304,256,0,batched,28209,294.91,1244,14878.78,64559,0.305,89.384,487565,4.00,4,152.00,152,0.012,60.058
vm-testnet-unbatched,unbatched,vm,testnet,unbatched,vm-testnet-unbatched.csv,12442854,489359,437608,1120746,105789,105790,5,0,0,0,0,1,unbatched,489349,30.96,364,1782.06,25742,0.048,185.775,,,,,,,
