_label,group,summary_count,summary_pruned_count,duration_ms_avg,duration_ms_max,traversed_avg,pruned_avg,commit_count_avg,avg_ops_avg,avg_bytes_avg,avg_commit_ms_avg,max_ops_max,max_bytes_max,max_commit_ms_max,config_lock_max_ms,config_batch_max_ms,config_batch_max_ops,config_batch_max_bytes,config_batch_max_blocks,config_batch_bodies,_file
reach-maxbytes4m,reach-batched (no bodies),228,152,254.10526315789474,1040.0,150.1578947368421,133.03508771929825,90.41145833333333,628.454453125,30902.595625,0.5947369791666667,3658.0,175120.0,13.864,25,50,50000,4194304,256,0,simpa-prune-reach-maxbytes4m-bps10-20260114-213006.csv
lock500,full-batch (bodies+headers),228,152,257.140350877193,1101.0,148.8421052631579,136.40350877192984,1.0175438596491229,2970.9736842105262,135982.58771929826,2.4636447368421055,5450.0,251647.0,26.879,500,1000,50000,4194304,256,1,simpa-prune-lock500-bps10-20260114-132125.csv
reach-lock50,reach-batched (no bodies),228,144,269.44736842105266,607.0,151.71929824561403,136.7719298245614,90.79427083333333,1209.8515625,58547.01388020833,1.0568854166666666,4495.0,218281.0,6.02,50,100,50000,4194304,256,0,simpa-prune-reach-lock50-bps10-20260114-180557.csv
reach-maxops100k,reach-batched (no bodies),228,152,283.19736842105266,874.0,150.7719298245614,136.43859649122808,90.73177083333333,665.3559895833333,32818.729166666664,0.6722786458333333,3590.0,172102.0,15.967,25,50,100000,4194304,256,0,simpa-prune-reach-maxops100k-bps10-20260114-210031.csv
reach-only,reach-batched (no bodies),228,156,296.9122807017544,1859.0,152.2280701754386,136.49122807017545,91.99739583333333,527.1822135416667,26095.24098958333,0.608140625,3620.0,172451.0,107.148,25,50,50000,4194304,256,0,simpa-prune-reach-only-bps10-20260114-094547.csv
lock100,full-batch (bodies+headers),228,156,301.21491228070175,1245.0,147.35087719298247,136.49122807017545,1.087719298245614,2852.4539473684213,130831.69153508772,2.416140350877193,4753.0,217935.0,9.859,100,200,50000,4194304,256,1,simpa-prune-lock100-bps10-20260114-125318.csv
maxbytes1m,full-batch (bodies+headers),228,152,336.2719298245614,2114.0,150.140350877193,136.52631578947367,2.56140350877193,1262.5713157894738,59294.20517543859,1.135956140350877,4903.0,231332.0,36.372,25,50,50000,1048576,256,1,simpa-prune-maxbytes1m-bps10-20260114-164349.csv
maxops100k,full-batch (bodies+headers),228,136,340.78508771929825,3599.0,148.50877192982455,136.68421052631578,2.4649122807017543,1130.3858771929824,52908.605701754386,1.1321666666666668,5684.0,266318.0,82.541,25,50,100000,4194304,256,1,simpa-prune-maxops100k-bps10-20260114-153908.csv
lock10,full-batch (bodies+headers),228,156,372.890350877193,1313.0,150.7017543859649,136.21052631578948,4.745614035087719,611.0007456140352,30081.842631578947,0.9125789473684212,2915.0,133796.0,19.733,10,20,50000,4194304,256,1,simpa-prune-lock10-bps10-20260114-103546.csv
unbatched,unbatched (no batching),228,156,376.2236842105263,915.0,152.75438596491227,136.50877192982455,153.75438596491227,29.276140350877192,2256.4084210526316,0.07582456140350877,182.0,12663.0,13.893,25,0,1,1,1,1,simpa-prune-unbatched-bps10-20260114-101030.csv
lock50,full-batch (bodies+headers),228,156,393.0438596491228,1755.0,147.89473684210526,136.4561403508772,1.6710526315789473,1947.9737719298246,89792.7047368421,2.5301491228070176,4599.0,211860.0,147.26,50,100,50000,4194304,256,1,simpa-prune-lock50-bps10-20260114-113827.csv
reach-maxops10k,reach-batched (no bodies),228,148,404.4166666666667,3583.0,147.2280701754386,136.5438596491228,89.078125,574.7013802083333,28537.87838541667,0.628328125,4600.0,228871.0,51.143,25,50,10000,4194304,256,0,simpa-prune-reach-maxops10k-bps10-20260114-200924.csv
lock25,full-batch (bodies+headers),228,156,452.109649122807,1913.0,151.5438596491228,140.10526315789474,2.68859649122807,1172.0212280701755,55350.824649122806,1.4238815789473684,5511.0,254131.0,27.007,25,50,50000,4194304,256,1,simpa-prune-lock25-bps10-20260114-110559.csv
maxblocks15,full-batch (bodies+headers),228,152,460.82456140350877,4042.0,148.19298245614036,136.56140350877192,10.701754385964913,241.41140350877194,12861.48407894737,0.3539912280701754,561.0,34505.0,27.01,25,50,50000,4194304,15,1,simpa-prune-maxblocks15-bps10-20260114-142016.csv
reach-maxbytes16m,reach-batched (no bodies),228,156,576.7587719298245,2839.0,150.91228070175438,136.47368421052633,91.3515625,476.18471354166667,23818.250338541668,0.6692187500000001,3445.0,170620.0,23.664,25,50,50000,16777216,256,0,simpa-prune-reach-maxbytes16m-bps10-20260114-215515.csv
maxblocks10,full-batch (bodies+headers),228,156,633.828947368421,8387.0,145.50877192982455,133.1578947368421,15.517543859649123,217.64741228070176,12645.991885964911,0.40503947368421056,678.0,45728.0,27.442,25,50,50000,4194304,10,1,simpa-prune-maxblocks10-bps10-20260114-134418.csv
